County	Birds	Trees	Reptiles	Mammals	area_of_county_ha	lat_county_centroid_y	long_county_centroid_x	PAs_gapstatus1_HAs	PAs_gapstatus2_HAs	PAs_gapstatus3_HAs	PAs_gapstatus4_HAs	PAs_gapstatus1thru4_HAs	PAs_gapstatus1_Ct	PAs_gapstatus2_Ct	PAs_gapstatus3_Ct	PAs_gapstatus4_Ct	PAs_gapstatus1thru4_Cts	farmland_value_USDperHA	farmland_area_HAs	iucn_NT_status	iucn_VU_status	iucn_EN_status	iucn_CR_status	iucn_threat_count_species	Region
Alameda	235	30	27	54	212722.28	37.650547	-121.91788	0	19272.77389	27186.04304	3543.832385	50002.64931	0	158	655	44	857	13632.8039	82812.03703	21	11	4	1	37	Bay Area
Alpine	174	29	15	71	192485	38.597252	-119.82066	91549.6241	4465.915713	84239.19422	597.9759808	180852.71	11	110	327	4	452	10598.34981	732.4810125	6	2	2	0	10	Greater Sacramento
Amador	172	41	21	69	156940.42	38.446388	-120.65112	8780.758026	370.9019084	26631.38072	3407.278291	39190.31895	3	10	25	16	54	9721.125707	66158.81816	7	3	1	0	11	Greater Sacramento
Butte	184	45	21	67	434374.94	39.666931	-121.60067	0	19496.19362	76459.0073	7688.329409	103643.5303	0	86	236	36	358	18777.53794	151265.8275	8	3	1	0	12	Greater Sacramento
Calaveras	173	39	21	66	268562.69	38.204605	-120.55413	1109.669562	1532.93415	53229.76132	6117.199788	61989.56482	1	12	38	18	69	8060.577543	81352.33592	6	3	0	0	9	San Joaquin Valley
Colusa	189	40	20	58	299495.41	39.177574	-122.23703	2862.506764	11254.18422	39895.47253	10557.25013	64569.41364	2	79	33	15	129	13420.29327	191858.2255	8	4	1	0	13	Greater Sacramento
Contra Costa	233	35	25	57	208175	37.92342	-121.95121	0	4035.632999	46391.6905	7911.779697	58339.1032	0	77	530	75	682	20818.62839	59485.95661	20	11	4	1	36	Bay Area
Del Norte	199	56	19	71	318486.09	41.744942	-123.9578	52896.0864	35482.60966	172431.1599	6715.31272	267525.1687	9	145	228	9	391	21537.70505	7352.328748	21	9	2	1	33	Northern California
El Dorado	174	41	21	71	462661.94	38.778736	-120.52465	25922.45135	4639.205243	193319.2652	804.2958496	224685.2176	1	91	199	13	304	20331.83079	43333.73857	7	3	1	0	11	Greater Sacramento
Fresno	173	38	25	72	1556855.3	36.758179	-119.64932	344351.0837	28145.6385	260317.1043	4911.099081	637724.9257	23	155	365	19	562	20475.15191	662156.3603	11	7	6	1	25	San Joaquin Valley
Glenn	187	39	20	61	343685.41	39.598404	-122.3922	4435.521928	8386.751083	84624.3624	1825.613643	99272.24906	1	51	35	11	98	11349.55017	197966.5506	8	2	1	0	11	Northern California
Humboldt	208	54	18	72	1049529.3	40.705009	-123.91582	100356.565	48182.95818	215212.245	61806.54804	425558.3162	21	507	207	42	777	6385.203057	241790.3635	21	9	4	1	35	Northern California
Imperial	186	17	42	60	1160752	33.039505	-115.36532	91026.15261	127971.9604	427690.3734	176997.5574	823686.0438	40	119	172	29	360	17302.31881	172942.0045	13	3	1	0	17	Southern California
Inyo	162	15	34	72	2648759.8	36.511127	-117.41079	1716141.246	43562.84576	664434.7635	197167.7977	2621306.653	145	170	394	21	730	1924.950922	118391.594	12	5	3	1	21	Southern California
Kern	198	27	34	59	2114116.5	35.34285	-118.7299	85188.17593	223228.1826	319542.6425	143146.5682	771105.5693	12	404	458	33	907	10959.12367	955772.3858	11	10	5	1	27	San Joaquin Valley
Kings	169	8	23	51	360405.22	36.075359	-119.81551	0	807.5099479	8214.456473	6300.954933	15322.92135	0	6	45	2	53	14902.92556	275454.1386	5	5	4	1	15	San Joaquin Valley
Lake	194	46	20	59	344320.09	39.099644	-122.75318	29905.36367	4766.456918	128126.5096	750.1910407	163548.5212	4	50	173	13	240	15046.24668	50261.55208	9	2	1	0	12	Northern California
Lassen	190	22	19	70	1222504.3	40.673592	-120.59433	16142.60099	121961.433	575258.5881	20466.34484	733828.967	12	183	122	12	329	4761.720701	185801.7002	9	2	1	0	12	Northern California
Los Angeles	235	36	36	61	1230538.1	34.198002	-118.26102	50249.86959	27307.43654	451892.2825	48917.19783	578366.7865	10	571	2346	300	3227	30786.85948	43893.41881	22	12	7	2	43	Southern California
Madera	175	41	22	74	557705.56	37.218033	-119.76265	93397.84561	1202.020508	111357.6162	3377.628329	209335.1107	17	42	51	33	143	18814.60374	275076.5669	11	5	4	1	21	San Joaquin Valley
Marin	230	43	20	60	214500.63	38.055183	-122.74886	11150.39493	47737.20278	65127.77038	21514.45334	145529.8214	17	1104	363	181	1665	15392.19421	53934.47897	21	10	5	1	37	Bay Area
Mariposa	175	42	22	74	378868.91	37.58152	-119.90552	98143.31565	14145.81274	89082.31334	2292.17088	203663.6126	11	90	68	14	183	5199.097226	86005.41143	10	4	3	0	17	San Joaquin Valley
Mendocino	210	51	20	64	1004437.4	39.433624	-123.43156	55990.73007	43547.80354	183595.2907	52485.74998	335619.5743	24	538	183	37	782	9916.338958	246321.6286	19	10	4	1	34	Northern California
Merced	181	16	25	52	512468.5	37.191872	-120.71769	0	40943.47471	12089.50656	40860.96632	93893.94759	0	115	126	62	303	19118.54336	421324.2924	7	5	3	1	16	San Joaquin Valley
Modoc	191	24	17	72	1088638.3	41.589832	-120.72503	28724.12731	46359.86666	642780.6331	7014.438796	724879.0659	2	92	214	15	323	4252.683615	241896.7958	7	3	1	0	11	Northern California
Mono	172	21	23	73	811153.5	37.938992	-118.88671	202030.5374	61058.89215	493212.675	7435.833737	763737.9382	46	339	589	25	999	6960.958596	18053.0265	8	2	1	0	11	Southern California
Monterey	230	44	28	54	976741.75	36.239773	-121.3089	108653.8172	32146.08488	167773.4968	76483.43487	385056.8337	14	1050	529	33	1626	12090.86632	537411.2017	19	11	8	2	40	Bay Area
Napa	214	42	20	52	204241.52	38.506474	-122.33054	2609.651199	16730.1623	30121.53611	3259.482399	52720.83201	1	137	174	26	338	53871.44421	90344.45089	18	8	4	1	31	Bay Area
