State	County	rurban	PctPoverty	PctChildPoverty	MedianHHincome
CA	Alameda County	Urban	8.9	9.8	107589
CA	Alpine County	Rural	17.2	29.6	58112
CA	Amador County	Rural	9.8	12.5	62640
CA	Butte County	Urban	16.1	16.1	58394
CA	Calaveras County	Rural	12.1	19.6	68248
CA	Colusa County	Rural	12	15.3	59048
CA	Contra Costa County	Urban	7.9	9.9	106555
CA	Del Norte County	Rural	17.9	25.8	48979
CA	El Dorado County	Urban	8.7	9.1	86202
CA	Fresno County	Urban	20.5	29	56926
CA	Glenn County	Rural	12.1	18.1	55682
CA	Humboldt County	Urban	19.1	20.5	51134
CA	Imperial County	Urban	22	30.7	48102
CA	Inyo County	Rural	11.7	15.4	59605
CA	Kern County	Urban	19	26	53245
CA	Kings County	Urban	16	22.3	57297
CA	Lake County	Urban	18.3	25.2	46897
CA	Lassen County	Rural	16.5	15	53613
CA	Los Angeles County	Urban	13.4	18.3	72721
CA	Madera County	Urban	17.6	26.1	61105
CA	Marin County	Urban	6.9	7.2	112069
CA	Mariposa County	Rural	15.1	21.9	52760
CA	Mendocino County	Urban	14	20.4	52309
CA	Merced County	Urban	17	22.5	59733
CA	Modoc County	Rural	20.5	31	45311
CA	Mono County	Rural	10.1	12	66226
CA	Monterey County	Urban	12.6	18.4	76509
CA	Napa County	Urban	7.4	8.4	90230
CA	Nevada County	Urban	9.4	13.5	69550
CA	Orange County	Urban	9.5	12.6	95761
CA	Placer County	Urban	6.6	7.5	97688
CA	Plumas County	Rural	13.2	19.3	59376
CA	Riverside County	Urban	11.3	14.1	72905
CA	Sacramento County	Urban	12.6	16	71891
CA	San Benito County	Urban	10.4	13.9	84209
CA	San Bernardino County	Urban	13.3	18.5	67398
CA	San Diego County	Urban	10.3	12.8	83576
CA	San Francisco County	Urban	9.5	9.3	121795
CA	San Joaquin County	Urban	13.6	18.2	68458
CA	San Luis Obispo County	Urban	11.6	11.2	76599
CA	San Mateo County	Urban	6.1	6.3	135234
CA	Santa Barbara County	Urban	12	13.1	74530
CA	Santa Clara County	Urban	6.1	5.5	132444
CA	Santa Cruz County	Urban	10.6	10.4	85770
CA	Shasta County	Urban	13.3	16.5	61464
CA	Sierra County	Rural	12.7	18.4	55862
CA	Siskiyou County	Rural	17.4	25.5	45954
CA	Solano County	Urban	9	11.2	85704
CA	Sonoma County	Urban	7.2	7.7	87084
CA	Stanislaus County	Urban	13	17.1	62761
CA	Sutter County	Urban	12.8	17.4	60910
CA	Tehama County	Urban	16.3	23.7	51672
CA	Trinity County	Rural	16.5	25.3	43881
CA	Tulare County	Urban	18.9	25.8	56776
CA	Tuolumne County	Urban	11.3	15.2	64729
CA	Ventura County	Urban	8.2	11.4	91446
CA	Yolo County	Urban	16.9	13	70951
CA	Yuba County	Urban	15.2	18.8	56607
