Species	Year	Number	NumNormal
COHA	1972	8	0.1860
COHA	1973	3	0.0517
COHA	1974	10	0.1250
COHA	1975	5	0.0781
COHA	1976	11	0.1068
COHA	1977	10	0.1639
COHA	1978	5	0.0694
COHA	1979	10	0.1639
COHA	1980	10	0.1087
COHA	1981	6	0.0833
COHA	1982	11	0.1068
COHA	1983	9	0.1343
COHA	1984	15	0.1724
COHA	1985	13	0.1333
COHA	1986	11	0.1222
COHA	1987	14	0.1944
COHA	1988	13	0.1912
COHA	1989	8	0.1270
COHA	1990	13	0.1781
COHA	1991	8	0.1250
COHA	1992	5	0.0781
COHA	1993	4	0.0615
COHA	1994	11	0.1410
COHA	1995	6	0.0833
COHA	1996	14	0.1573
COHA	1997	10	0.1429
COHA	1998	17	0.1889
COHA	1999	10	0.1064
COHA	2000	14	0.1609
COHA	2001	20	0.1418
COHA	2002	17	0.2000
COHA	2003	16	0.1455
COHA	2004	8	0.0650
COHA	2005	17	0.1214
COHA	2006	20	0.1575
COHA	2007	11	0.0821
COHA	2008	16	0.1569
COHA	2009	8	0.0792
COHA	2010	11	0.1117
COHA	2011	13	0.1102
COHA	2012	16	0.1422
COHA	2013	8	0.0661
COHA	2014	17	0.1079
COHA	2015	17	0.0954
COHA	2016	14	0.1136
COHA	2017	21	0.1200
COHA	2018	12	0.1020
COHA	2019	14	0.1067
COHA	2020	24	0.1209
SPTO	1972	48	1.1163
SPTO	1973	16	0.2759
SPTO	1974	33	0.4125
SPTO	1975	34	0.5313
SPTO	1976	92	0.8932
SPTO	1977	68	1.1148
SPTO	1978	22	0.3056
SPTO	1979	90	1.4754
SPTO	1980	60	0.6522
SPTO	1981	51	0.7083
SPTO	1982	72	0.6990
SPTO	1983	84	1.2537
SPTO	1984	69	0.7931
SPTO	1985	73	0.7487
SPTO	1986	42	0.4667
SPTO	1987	87	1.2083
SPTO	1988	44	0.6471
SPTO	1989	116	1.8413
SPTO	1990	104	1.4247
SPTO	1991	52	0.8125
SPTO	1992	34	0.5313
SPTO	1993	36	0.5538
SPTO	1994	69	0.8846
SPTO	1995	36	0.5000
SPTO	1996	46	0.5169
