Region	State	County	Nitrogen	MMI
1	Maine	Aroostook	150	67.68773163
1	Maine	Aroostook	245	69.77789683
1	Maine	Aroostook	351	67.68792477
1	Maine	Aroostook	401	86.01354295
1	Maine	Piscataquis	268	75.41918645
1	Maine	Aroostook	439	42.8693316
1	Maine	Somerset	285	76.09079281
1	Maine	Somerset	275	81.86545329
1	Maine	Aroostook	715	51.46429938
1	Vermont	Franklin	405	32.61442025
1	Vermont	Orleans	375	76.04810957
1	Maine	Franklin	283	75.27599027
1	New Hampshire	Coos	290	79.45924062
1	Maine	Somerset	270	56.22080251
1	Maine	Piscataquis	178	79.8181309
1	Maine	Penobscot	483	41.87255402
1	Maine	Penobscot	304	38.6590206
1	Vermont	Washington	320	22.02674672
1	Vermont	Caledonia	341	69.40282138
1	Maine	Franklin	159	47.45422263
1	Maine	Oxford	115	72.3635306
1	Maine	Somerset	212	78.16304102
1	Maine	Hancock	283	68.3318408
1	Vermont	Orange	239	74.32630326
1	Vermont	Addison	109	64.16155968
1	New Hampshire	Grafton	308	68.11459714
1	New Hampshire	Carroll	268	83.29363431
1	Vermont	Bennington	324	44.96081526
1	New Hampshire	Cheshire	213	51.24355095
1	New Hampshire	Strafford	671	52.30481127
1	Maine	York	603	20.89615937
1	Massachusetts	Franklin	436	68.08958964
1	New Hampshire	Hillsborough	271	58.75577073
1	New Hampshire	Rockingham	824	13.83905764
1	Connecticut	Litchfield	605	60.70132079
1	Connecticut	Tolland	491	63.43140977
1	Massachusetts	Norfolk	788	52.30365365
1	Massachusetts	Plymouth	1276	17.38103379
1	Connecticut	Fairfield	368	53.38832072
1	Connecticut	Hartford	890	62.77384758
1	Connecticut	New London	2319	52.20380751
1	Rhode Island	Newport	849	70.07610834
2	New York	Orange	604	9.42253158
2	New York	Cattaraugus	258	48.94993633
2	New York	Madison	4163	21.3751457
2	New York	Franklin	476	29.24652065
2	New Jersey	Monmouth	1595	57.76948883
2	New York	Cayuga	2969	0
2	New York	Fulton	516	32.11426461
2	New Jersey	Camden	1266	18.36924179
2	New York	Clinton	524	47.93561957
2	New Jersey	Burlington	2049	48.56163182
2	New York	Livingston	834	38.62918289
2	New York	Sullivan	355	6.252851706
2	New York	Rensselaer	383	69.8633156
2	New York	Herkimer	643	5.619295958
2	New York	Livingston	899	11.63485026
2	New York	Columbia	830	19.86961896
2	New York	Niagara	1418	3.416440979
2	New York	Chenango	379	5.811270933
2	New York	St. Lawrence	648	19.43088981
2	New York	Schuyler	358	19.73072266
2	New Jersey	Somerset	804	65.461058
2	New York	Dutchess	681	46.47010708
2	New York	Monroe	898	1.379071379
2	New York	Schoharie	226	61.58143512
2	New York	Schoharie	216	56.55314764
2	New York	Jefferson	318	49.62534566
2	New Jersey	Warren	1818	20.06230951
2	New York	Wayne	1438	0
2	New York	Cortland	743	73.84815154
2	New York	Columbia	1409	1.825218795
2	New York	St. Lawrence	661	79.29107932
3	Pennsylvania	Chester	2475	40.14621466
3	Delaware	Sussex	7856	49.97672284
3	West Virginia	Webster	231	46.90930775
3	West Virginia	Ritchie	339	55.54466734
3	Pennsylvania	Jefferson	209	8.550471205
3	Maryland	Baltimore	1868	24.42617681
3	Pennsylvania	Huntingdon	1818	27.8520856
3	Maryland	Garrett	1026	77.63941141
3	West Virginia	Gilmer	245	37.2424595
3	Pennsylvania	York	5881	46.66582983
3	Pennsylvania	Potter	999	5.764411028
3	Pennsylvania	Blair	586	43.4710033
3	Pennsylvania	Mercer	1099	61.77745754
3	West Virginia	Upshur	263	24.25041757
3	Pennsylvania	Lancaster	11338	10.78170627
3	Pennsylvania	Beaver	6288	19.13069276
3	Maryland	Cecil	1686	49.14888092
3	Maryland	Worcester	624	28.88383653
3	Maryland	Montgomery	1714	13.6502419
3	Pennsylvania	Tioga	516	54.68727034
3	Maryland	Carroll	3231	36.56361653
3	Pennsylvania	Susquehanna	366	54.69463476
3	Pennsylvania	Snyder	940	47.53960126
3	Maryland	Carroll	2381	19.28373677
3	West Virginia	Randolph	726	81.84493608
3	West Virginia	Calhoun	185	42.31876616
3	Pennsylvania	Northumberland	749	19.2077228
3	West Virginia	Hampshire	273	55.32943175
3	Pennsylvania	Fayette	2384	2.305208382
3	Maryland	St. Mary's	271	69.82461022
3	Pennsylvania	Indiana	1641	43.22484572
3	Pennsylvania	Jefferson	369	46.7853321
3	Maryland	Allegany	406	0
3	Pennsylvania	Montgomery	2644	39.20647703
3	Pennsylvania	Crawford	1218	54.96876612
3	Maryland	Prince George's	1431	49.00790769
3	Pennsylvania	Schuylkill	109	55.62570642
3	West Virginia	Marion	206	42.60802479
3	Pennsylvania	Montgomery	328	12.98205628
3	Maryland	Charles	381	77.82381785
3	Pennsylvania	Butler	3631	22.32442237
3	Pennsylvania	Washington	674	22.88071289
3	Delaware	New Castle	2078	68.2938634
3	West Virginia	Fayette	394	32.2275994
3	Maryland	Prince George's	1054	25.79433426
3	Pennsylvania	Tioga	595	72.8712129
3	Pennsylvania	Cameron	127	75.97930584
3	Virginia	Floyd	605	47.61493902
3	Virginia	Buchanan	76	66.4761591
3	Virginia	Fauquier	785	32.17420348
3	Virginia	Patrick	90	52.6207872
3	Virginia	Scott	66	62.60744211
3	Virginia	Rockbridge	348	47.91268284
3	Virginia	Prince Edward	438	10.81617534
3	Virginia	Pittsylvania	185	37.7396734
3	Virginia	Pulaski	1235	39.38552783
3	Virginia	Augusta	276	49.54554607
3	Virginia	Bedford	440	39.92623922
3	Virginia	Smyth	761	54.09732126
3	Virginia	Albemarle	155	60.50472946
3	Virginia	Nelson	100	62.78228006
3	Virginia	Brunswick	264	26.87594617
3	Virginia	Halifax	335	14.11480818
3	Virginia	Carroll	781	51.15391591
3	Virginia	Middlesex	1840	46.98640629
3	Virginia	Campbell	996	42.48174187
3	Virginia	Franklin	718	56.32286954
3	Virginia	Spotsylvania	355	20.37399067
3	Virginia	Loudoun	566	23.30474847
3	Virginia	Bedford	561	17.83689618
3	Virginia	Goochland	150	35.10379682
3	Virginia	Henry	579	32.07629968
3	Virginia	Appomattox	286	46.24433755
3	Virginia	Scott	684	51.86547915
3	Virginia	Madison	344	61.68608377
3	Virginia	Shenandoah	135	82.90115265
3	Virginia	Alleghany	128	62.54644502
3	Virginia	Bath	130	73.2841763
3	Virginia	Amelia	580	36.33151628
3	Virginia	Lunenburg	1509	12.37879452
3	Virginia	Craig	343	47.7288111
3	Virginia	Smyth	568	86.23595678
3	Virginia	Nelson	298	52.7446739
3	Virginia	Buckingham	198	61.31494
3	Virginia	Patrick	535	65.98712998
3	Virginia	Wythe	170	53.27525298
3	Virginia	Bedford	674	59.23370549
4	Kentucky	Leslie	815	36.98270105
4	Alabama	Dekalb	963	34.90310062
4	Alabama	Jefferson	93	34.78422732
4	South Carolina	Oconee	130	19.73905959
4	Kentucky	Jefferson	220	16.07147454
4	Georgia	Gilmer	150	53.23140864
4	Georgia	Morgan	521	35.76032855
4	Tennessee	Houston	414	51.42428468
4	Alabama	Clarke	379	53.30851048
4	Kentucky	Whitley	1026	10.72895055
4	Tennessee	Sullivan	1640	22.61798182
4	Tennessee	Lawrence	890	64.08449518
4	Kentucky	Warren	2189	28.91839184
4	Tennessee	Cocke	99	57.66830704
4	Alabama	St. Clair	856	56.93033374
4	North Carolina	Alleghany	1550	32.25670815
4	Georgia	White	1000	27.17647916
4	North Carolina	Alleghany	844	62.04179032
4	Tennessee	Sevier	471	56.8199048
4	Tennessee	Sumner	462	35.64667617
4	Tennessee	Cocke	393	36.17154387
4	North Carolina	Wilkes	71	56.09352249
4	Kentucky	Breckinridge	1449	28.08204439
4	Tennessee	Henderson	244	30.68536052
4	Mississippi	Jones	506	57.06971864
4	North Carolina	Davidson	1303	15.49266399
4	Mississippi	Clarke	221	51.95001928
4	Kentucky	Martin	444	32.04265587
4	Kentucky	Pike	1280	28.21712232
4	Kentucky	Christian	4300	27.62882104
4	Florida	Escambia	1376	36.78802855
4	Tennessee	Greene	1680	34.94289837
4	Florida	Duval	513	31.69528246
4	Alabama	Coffee	399	61.16417034
4	Mississippi	Calhoun	213	45.90940667
4	Alabama	Lee	684	9.292990274
4	Kentucky	Fleming	798	26.11739725
4	Georgia	Gordon	1860	25.83060165
4	Tennessee	Claiborne	344	26.71248249
4	Georgia	Chattooga	320	50.64135244
4	Alabama	Coosa	340	28.43806585
4	North Carolina	Haywood	74	77.39220471
4	Kentucky	Grant	770	14.68622768
4	North Carolina	Burke	143	43.29745981
4	Georgia	Lumpkin	56	51.73533197
4	Kentucky	Carter	367	48.72281526
4	Kentucky	Daviess	1301	10.05153587
4	Tennessee	Greene	1883	40.99080248
4	Mississippi	Hancock	458	75.02250888
4	Georgia	Meriwether	294	20.895721
4	Alabama	Jefferson	521	18.64023824
4	Kentucky	Monroe	1100	43.46131257
4	North Carolina	Buncombe	1530	40.34888694
4	Tennessee	Bledsoe	645	4.638233479
4	North Carolina	Greene	2181	2.083333333
4	Alabama	Calhoun	129	34.54783263
4	North Carolina	Avery	236	70.10819272
4	Tennessee	Morgan	225	59.59134153
4	Kentucky	Morgan	552	44.34509055
4	Kentucky	Whitley	720	49.84167124
4	Mississippi	Washington	508	53.35696933
4	Alabama	Jefferson	294	27.25934046
4	North Carolina	Clay	74	71.42625284
4	Florida	Jefferson	643	19.29138688
4	North Carolina	Buncombe	1289	36.73280076
4	Tennessee	Bradley	360	15.9885633
4	Georgia	Jones	153	12.19654721
4	Alabama	Marion	160	60.62294392
4	South Carolina	Calhoun	154	91.95305279
4	North Carolina	Mecklenburg	290	19.99715436
4	Tennessee	Robertson	1628	33.55578398
4	Alabama	Monroe	331	69.58378925
4	Georgia	Greene	133	22.51664298
4	Mississippi	Amite	225	61.98647939
4	Tennessee	Campbell	68	38.7059967
4	Mississippi	Simpson	534	38.54795473
4	North Carolina	Swain	244	76.61509234
4	Tennessee	Grundy	514	3.222480021
4	Tennessee	Hardin	296	59.94850748
4	Florida	Escambia	268	64.50081194
4	North Carolina	Mcdowell	25	69.68686794
4	Georgia	Bartow	54	60.70445284
4	North Carolina	Avery	470	76.33218231
4	North Carolina	Cherokee	61	41.36971142
4	North Carolina	Moore	444	48.11770832
4	Mississippi	Marshall	366	43.21675835
4	Alabama	Coosa	179	50.16897507
4	Tennessee	Union	678	54.077726
4	Kentucky	Wolfe	104	51.43021441
4	Tennessee	Union	641	51.9158906
4	Alabama	Jackson	337	25.93104922
4	Alabama	Shelby	94	38.38188277
4	North Carolina	Transylvania	334	49.58723502
4	Kentucky	Franklin	948	30.48209321
4	Georgia	Murray	38	54.99771621
4	South Carolina	Fairfield	295	6.039426371
4	Kentucky	Lawrence	196	55.00273314
4	Mississippi	Carroll	101	67.51676726
5	Illinois	Bureau	9994	60.42501706
5	Wisconsin	Wood	1075	31.30016758
5	Michigan	Iosco	564	42.03215336
5	Wisconsin	Eau Claire	3876	16.49474664
5	Illinois	Madison	474	29.23740382
5	Michigan	Gogebic	391	40.41686323
5	Wisconsin	Grant	15650	3.494702149
5	Minnesota	Aitkin	1024	45.25609558
5	Illinois	Hancock	634	39.25584218
5	Minnesota	Sibley	3438	38.05617956
5	Illinois	Effingham	9538	11.35581623
5	Ohio	Adams	509	33.89200719
5	Minnesota	Chisago	898	43.07380857
5	Wisconsin	Sauk	1406	19.85113662
5	Wisconsin	Douglas	924	25.28967575
5	Ohio	Licking	1700	18.65855689
5	Wisconsin	Jackson	324	42.9243837
5	Michigan	Menominee	545	61.38148986
5	Indiana	Clay	941	23.86027296
5	Ohio	Mahoning	231	23.48182354
5	Illinois	Bond	1379	13.87781552
5	Ohio	Stark	881	21.7307187
5	Michigan	Lake	191	62.28793433
5	Wisconsin	Langlade	610	19.29679377
