A1	A2	A3	A4	A5	Condition
0.6447	0	0	0.385	3.348	High S
0.0132	0.625	0	0	0	High S
0	0.125	0.8148	0	0	High S
0	0	0.037	0.8182	0	High S
0	0	0	0.0455	0.625	High S
0.6987	0.0482	0.0055	0.3565	1.6669	High B
0.083	0.747	0	0	0	High B
0	0.1566	0.9286	0	0	High B
0	0	0.022	0.8596	0.0435	High B
0	0	0	0.0877	0.7826	High B
0.9999	0	0	1.102	1.037	Low S
1e-4	0.8786	0	0	0	Low S
0	0.0501	0.9063	0.0625	0	Low S
0	0	0.0625	0.9375	0	Low S
0	0	0	1e-4	0.9999	Low S
0.702	0.0091	0.007042253521	1.3035	7.0065	Low B
0.1601	0.87655	0	0	0	Low B
0.006329113924	0.097	0.96715	0	0	Low B
0	0	0.0071	0.74105	0.04545	Low B
0	0	0	0.18755	0.8636	Low B
