ACI	StartMin	EndMin	Date	Unit	Habitat	Condition	Time	Datetime
153.51920720140205	0	1	2022-07-10	BFS	Nature	closed	5H 1M 0S	2022-07-10T05:01:00Z
154.00555531838938	1	2	2022-07-10	BFS	Nature	closed	5H 2M 0S	2022-07-10T05:02:00Z
154.43657156318125	2	3	2022-07-10	BFS	Nature	closed	5H 3M 0S	2022-07-10T05:03:00Z
158.0775413656849	3	4	2022-07-10	BFS	Nature	closed	5H 4M 0S	2022-07-10T05:04:00Z
164.94456722312603	0	1	2022-07-10	BFS	Nature	closed	6H 1M 0S	2022-07-10T06:01:00Z
155.8013672707879	1	2	2022-07-10	BFS	Nature	closed	6H 2M 0S	2022-07-10T06:02:00Z
156.63727329429187	2	3	2022-07-10	BFS	Nature	closed	6H 3M 0S	2022-07-10T06:03:00Z
156.57451846424163	3	4	2022-07-10	BFS	Nature	closed	6H 4M 0S	2022-07-10T06:04:00Z
161.83358053556373	0	1	2022-07-10	BFS	Nature	closed	7H 1M 0S	2022-07-10T07:01:00Z
162.16866669085834	1	2	2022-07-10	BFS	Nature	closed	7H 2M 0S	2022-07-10T07:02:00Z
162.24970668216065	2	3	2022-07-10	BFS	Nature	closed	7H 3M 0S	2022-07-10T07:03:00Z
158.52950218345083	3	4	2022-07-10	BFS	Nature	closed	7H 4M 0S	2022-07-10T07:04:00Z
155.00288550492562	0	1	2022-07-11	BFS	Nature	closed	5H 1M 0S	2022-07-11T05:01:00Z
155.3728153235742	1	2	2022-07-11	BFS	Nature	closed	5H 2M 0S	2022-07-11T05:02:00Z
157.8419483717322	2	3	2022-07-11	BFS	Nature	closed	5H 3M 0S	2022-07-11T05:03:00Z
157.42066453331327	3	4	2022-07-11	BFS	Nature	closed	5H 4M 0S	2022-07-11T05:04:00Z
187.7453775967851	0	1	2022-07-11	BFS	Nature	closed	6H 1M 0S	2022-07-11T06:01:00Z
163.24862798131377	1	2	2022-07-11	BFS	Nature	closed	6H 2M 0S	2022-07-11T06:02:00Z
157.69430187326105	2	3	2022-07-11	BFS	Nature	closed	6H 3M 0S	2022-07-11T06:03:00Z
157.47472559629304	3	4	2022-07-11	BFS	Nature	closed	6H 4M 0S	2022-07-11T06:04:00Z
163.314257948966	0	1	2022-07-11	BFS	Nature	closed	7H 1M 0S	2022-07-11T07:01:00Z
160.8435582514395	1	2	2022-07-11	BFS	Nature	closed	7H 2M 0S	2022-07-11T07:02:00Z
161.84329701747552	2	3	2022-07-11	BFS	Nature	closed	7H 3M 0S	2022-07-11T07:03:00Z
156.4544561789559	3	4	2022-07-11	BFS	Nature	closed	7H 4M 0S	2022-07-11T07:04:00Z
163.9712132820567	0	1	2022-07-09	CBIO11	Campus	closed	5H 1M 0S	2022-07-09T05:01:00Z
163.50325954437557	1	2	2022-07-09	CBIO11	Campus	closed	5H 2M 0S	2022-07-09T05:02:00Z
164.13780310013036	2	3	2022-07-09	CBIO11	Campus	closed	5H 3M 0S	2022-07-09T05:03:00Z
161.94886057784814	3	4	2022-07-09	CBIO11	Campus	closed	5H 4M 0S	2022-07-09T05:04:00Z
162.43270852799753	4	5	2022-07-09	CBIO11	Campus	closed	5H 5M 0S	2022-07-09T05:05:00Z
163.64093387525014	0	1	2022-07-09	CBIO11	Campus	closed	6H 1M 0S	2022-07-09T06:01:00Z
165.15357555135196	1	2	2022-07-09	CBIO11	Campus	closed	6H 2M 0S	2022-07-09T06:02:00Z
163.9768750296829	2	3	2022-07-09	CBIO11	Campus	closed	6H 3M 0S	2022-07-09T06:03:00Z
163.9036389110776	3	4	2022-07-09	CBIO11	Campus	closed	6H 4M 0S	2022-07-09T06:04:00Z
166.52070700458833	4	5	2022-07-09	CBIO11	Campus	closed	6H 5M 0S	2022-07-09T06:05:00Z
158.1776863764793	0	1	2022-07-09	CBIO11	Campus	closed	7H 1M 0S	2022-07-09T07:01:00Z
150.57033317205253	1	2	2022-07-09	CBIO11	Campus	closed	7H 2M 0S	2022-07-09T07:02:00Z
151.3481012314452	2	3	2022-07-09	CBIO11	Campus	closed	7H 3M 0S	2022-07-09T07:03:00Z
150.9489714378564	3	4	2022-07-09	CBIO11	Campus	closed	7H 4M 0S	2022-07-09T07:04:00Z
152.23202959837997	4	5	2022-07-09	CBIO11	Campus	closed	7H 5M 0S	2022-07-09T07:05:00Z
161.8147340450093	0	1	2022-07-10	CBIO11	Campus	closed	5H 1M 0S	2022-07-10T05:01:00Z
160.9376075678338	1	2	2022-07-10	CBIO11	Campus	closed	5H 2M 0S	2022-07-10T05:02:00Z
164.63732400014217	2	3	2022-07-10	CBIO11	Campus	closed	5H 3M 0S	2022-07-10T05:03:00Z
162.106152564494	3	4	2022-07-10	CBIO11	Campus	closed	5H 4M 0S	2022-07-10T05:04:00Z
162.10276261707563	4	5	2022-07-10	CBIO11	Campus	closed	5H 5M 0S	2022-07-10T05:05:00Z
160.62668517245095	0	1	2022-07-10	CBIO11	Campus	closed	6H 1M 0S	2022-07-10T06:01:00Z
159.93441439741386	1	2	2022-07-10	CBIO11	Campus	closed	6H 2M 0S	2022-07-10T06:02:00Z
158.6546197851669	2	3	2022-07-10	CBIO11	Campus	closed	6H 3M 0S	2022-07-10T06:03:00Z
159.7000205692624	3	4	2022-07-10	CBIO11	Campus	closed	6H 4M 0S	2022-07-10T06:04:00Z
160.3175961145999	4	5	2022-07-10	CBIO11	Campus	closed	6H 5M 0S	2022-07-10T06:05:00Z
