State,TotMammals,TotBirds,TotVerts,TotInverts,TotVascPlants,TotNonVascPlants,EndMammals,EndBirds,EndVerts,EndInverts,EndVascPlants,EndNonVascPlants,ThreatMammals,ThreatBirds,ThreatVerts,ThreatInverts,ThreatVascPlants,ThreatNonVascPlants,StateLandAreaMi2,FarmAcres2018,FarmAcre2002,FarnAcre1997,CostPerAcre2019,CostPerAcre2003,CostPerAcre1997,TotalProtectedAreasAcres,Population2020,Population2010,Population2000,GrossStateProduct
WA,134,363,47,624,3824,148,129,357,45,624,3811,148,23,28,8,125,265,9,66544,14700,15318.008,15778.606,2820,1515.72,1485.8,21211875.9,7796940,7614893,5894121,565831
MT,109,303,29,749,3383,442,108,301,27,749,3346,442,6,16,1,99,173,4,145552,58000,59612.403,58445.339,915,393.72,355.35,44511971.85,1085000,1068778,902195,50327
OR,156,366,64,900,4885,160,151,362,62,900,4874,160,27,26,13,263,510,22,95997,16000,17080.422,17658.213,2500,1226.04,1178.75,36455692.26,4289440,4217737,3421399,239783
ID,117,293,41,636,3793,44,114,288,39,636,3783,44,8,7,3,88,283,3,82747,11600,11767.294,12057.001,3000,1295.4,1190.25,38598963.75,1860120,1787065,1293953,77052
WY,132,304,47,600,3574,318,130,303,47,600,3532,318,11,15,4,61,235,1,97100,29000,34402.726,34302.475,740,295.8,257.6,36459725.61,581075,578759,493782,39119
CA,275,440,175,1421,8632,94,273,438,171,1421,8612,94,130,62,81,680,2211,28,155959,24300,27589.027,28795.834,10000,3596.52,3039.45,58697006.32,39613500,39512223,33871648,2997733
NV,143,307,85,582,4500,14,142,304,82,582,4494,14,26,18,7,172,588,4,109826,6100,6330.622,6397.569,1020,454.92,457.7,61295131.37,3185790,3080156,1998257,169310
UT,133,317,69,792,4566,24,131,312,67,792,4551,24,9,14,4,107,643,2,82144,10700,11731.228,12008.137,2420,771.12,690,42988184.14,3310770,3205958,2233169,178138
CO,214,387,92,920,4023,103,212,386,91,919,3869,103,27,21,3,110,357,3,103718,31800,31093.336,32349.832,1570,771.12,723.35,30305922.99,5893630,5758736,4301261,371750
AZ,188,427,230,827,5140,21,184,426,227,827,5126,21,51,57,50,301,617,2,113635,26200,26586.577,27169.627,3800,405.96,468.05,60454084.43,7520100,7278717,5130632,348297
NM,178,396,126,813,4802,14,178,396,125,813,4789,14,41,30,20,178,391,1,121356,40500,44810.083,46177.267,570,238.68,239.2,45030041.06,2105000,2096829,1819046,100297
ND,88,294,22,387,1727,4,88,293,22,387,1714,4,5,16,0,25,28,0,68976,39300,39294.879,39678.169,1740,412.08,466.9,5435015.922,770026,762062,642200,56082
MN,85,321,47,720,2509,64,85,319,47,720,2482,64,3,21,2,76,65,3,79610,25500,27512.27,27560.621,4840,1543.26,1320.2,14867184.93,5706400,5639632,4919479,368852
WI,69,299,54,1254,2604,522,69,298,54,1254,2577,522,2,20,2,79,71,4,54310,14300,15741.552,16232.744,4950,2317.44,1453.6,6767184.904,5852490,5822434,5363675,336294
